component,layer,head,ap_impact_pd,ct_rescue_pd,combined_score
L6H6,6,6,-0.0031179880223622947,-0.002069218129646444,-0.0026984800652759544
L25H12,25,12,-0.0031896182676640628,-0.0031086213705016075,-0.0031572195087990807
L18H13,18,13,-0.0032084242599765833,-0.00545402707123166,-0.004106665384478614
L3H2,3,2,-0.0032117526705671695,-0.002151447825315511,-0.002787630732466506
L23H1,23,1,-0.00323099188688325,-0.003879959990338633,-0.0034905791282654032
L23H3,23,3,-0.003278676329589447,-0.00543782551114147,-0.004142336002210256
L7H7,7,7,-0.003336526271773499,0.002143288530954579,-0.0011446003506822675
L20H2,20,2,-0.0034246895371413677,-0.0020221093805824486,-0.0028636574745178
L9H6,9,6,-0.0035394611882000326,0.0018511465409907224,-0.0013832180965237307
L18H4,18,4,-0.0035975917083460596,-0.0020319579578027547,-0.002971338208128738
L25H3,25,3,-0.0036261844925763453,-0.0022169373384335334,-0.0030624856309192207
L21H3,21,3,-0.003645438973496562,-0.0019728948430317583,-0.0029764213213106403
L19H11,19,11,-0.003657601228574392,-0.0029473115758198443,-0.003373485367472573
L25H11,25,11,-0.0036630085328730466,-0.002708178467866862,-0.0032810765068705724
L5H1,5,1,-0.0037118247369440915,-0.0009693139936866046,-0.002614820439641097
L25H7,25,7,-0.0037255585193634033,-0.005078469107790751,-0.0042667227547343416
L11H7,11,7,-0.0037280590069003194,-0.0002602077111965029,-0.002340918488618793
L20H15,20,15,-0.00378097266685673,-0.0012898605044295852,-0.002784527801885872
L25H8,25,8,-0.0038123203486930546,-0.0014519437057215479,-0.002868169691504452
L8H7,8,7,-0.003875719337928518,-0.0006404279208764851,-0.002581602771107705
L18H5,18,5,-0.003954446897274089,-0.002804953150632894,-0.003494649398617611
L23H13,23,13,-0.00399802806900762,-0.0024369242714672446,-0.0033735865499914695
L7H1,7,1,-0.004045907317138275,-0.0022606246355103554,-0.003331794244487107
L2H4,2,4,-0.004088062338712728,-0.002454433499312958,-0.00343461080295282
L5H5,5,5,-0.004225671291351318,-0.003427767898978251,-0.003906509934402091
L26H12,26,12,-0.004268696395362315,-0.003956595572029764,-0.0041438560660292945
L4H10,4,10,-0.0043279455929267074,-0.002753281738699931,-0.0036980800512359966
L12H15,12,15,-0.00432814257900882,-0.0021337648717367763,-0.0034503914961000024
L27H1,27,1,-0.004424709372404134,-0.0025610029697418213,-0.003679226811339209
L7H11,7,11,-0.004487769632804617,-0.00131878329486379,-0.003220175097628286
L6H4,6,4,-0.004579141372587636,-0.0026207777058205872,-0.003795795905880817
L18H0,18,0,-0.0046293757310728045,-0.0046290740734193925,-0.00462925506801144
L6H5,6,5,-0.0046447079356123355,-0.003393106344269481,-0.004144067299075194
L6H14,6,14,-0.004686407199720022,-0.0021941138476859745,-0.003689489858906403
L24H10,24,10,-0.004725850936843079,-0.002968732176757416,-0.004023003432808814
L12H12,12,12,-0.004753149137264323,-0.002656097819165537,-0.003914328610024808
L19H10,19,10,-0.004833226523748291,-0.004360201882153025,-0.004644016667110185
L14H14,14,14,-0.0050328889997993675,-0.0023888843815500493,-0.003975287152499641
L19H12,19,12,-0.005035982626240387,-0.003572034399683899,-0.004450403335617792
